DATE,DESCRIPTION,UNIT,PLACE
01 April 2022,Beef,1,Kolenchery 
01 April 2022,Fish,1,Kolenchery 
03 April 2022,Beef,2,Tripunithura 
05 April 2022,Prawns,1,Bangalore 
06 April 2022,Dates,1,Mangalore
07 April 2022,Fish,2,Pathanamthitta 
07 April 2022,Beef,1,Pathanamthitta 
07 April 2022,Mango,2,Pathanamthitta 
07 April 2022,Lemon,1,Pathanamthitta 
08 April 2022,Fish,1,Pune
08 April 2022,Prawns,1,Pune
08 April 2022,Beef,1,Pune
10 April 2022,Beef,2,Malappuram
10 April 2022,Mango,2,Malappuram
10 April 2022,Prawns,2,Malappuram
11 April 2022,Fish,1,Padappai- Tamilnadu
15 April 2022,Beef,1,Nettoor
15 April 2022,Prawns,1,Nettoor
19 April 2022,Prawns,2,Malappuram
19 April 2022,Lemon,1,Malappuram
19 April 2022,Mango,2,Malappuram
19 April 2022,Dry fruits,1,Malappuram
19 April 2022,Prawns,1,Kottayam
20 April 2022,Prawns,3,Jabalpur - Madhyapradesh
20 April 2022,Beef,3,Jabalpur - Madhyapradesh
20 April 2022,Fish,2,Eroor - Vytila
20 April 2022,Beef,2,Eroor - Vytila
20 April 2022,Prawns,2,Kanjiramttom
20 April 2022,Fish,2,Kanjiramttom
21 April 2022,Prawns,1,Vazhakala
21 April 2022,Beef,1,Vazhakala
21 April 2022,Mango,1,Vazhakala
21 April 2022,King Fish,4,Noida - UP
21 April 2022,Prawns,2,Noida - UP
21 April 2022,Beef,2,Noida - UP
21 April 2022,Lemon,2,Noida - UP
21 April 2022,Dryfruits,1,Noida - UP
21 April 2022,Kadumanga,1,Noida - UP
22 April 2022,Beef,2,Mumbai
22 April 2022,King Fish,2,Mumbai
03 May 2022,Dates,2,United States
03 May 2022,Beef,1,United States
03 May 2022,Mango,1,United States
03 May 2022,Dryfruits,1,United States
03 May 2022,Lemon,1,United States
07 May 2022,Lemon,1,Bangalore to US
07 May 2022,Mango,1,Bangalore to US
07 May 2022,Mango,1,Bangalore to US
07 May 2022,Prawns,1,Bangalore to US
13 May 2022,King Fish,2,To Kottayam
13 May 2022,Prawns,2,To Kottayam
13 May 2022,Beef,4,To Kottayam
13 May 2022,Mango,5,To Kottayam
13 May 2022,Lemon,1,To Kottayam
12 May 2022,Beef,1,Chennai
16 May 2022,Prawns,3,Kumily
19 May 2022,Beef,1,Nettoor
19 May 2022,Prawns,2,Nettoor
19 May 2022,Beef,1,Mangalore - Ullal
19 May 2022,Beef,1,Mangalore - Ullal
19 May 2022,Beef,1,Tripunithura
19 May 2022,Prawns,1,Tripunithura
19 May 2022,Fish,1,Tripunithura
19 May 2022,Beef,1,Kochi
19 May 2022,Prawns,1,Kochi
19 May 2022,Fish,1,Kochi
20 May 2022,Prawns,1,Kolenchery 
17 May 2022,Mango,1,Eloor
17 May 2022,Lemon,1,Eloor
17 May 2022,Dates,1,Eloor
17 May 2022,Prawns,1,Tripunithurra
17 May 2022,Beef,2,Aroor
27 May 2022,Beef,1,Chennai
28 May 2022,Dry fruits,2,Malappuram
28 May 2022,Prawns,2,Malappuram
28 May 2022,Fish,1,Malappuram
22 April 2022,Beef,2,Mumbai
22 April 2022,King Fish,2,Mumbai
30 May 2022,Prawns,1,Mumbai
30 May 2022,Beef,1,Mumbai
31 May 2022,Beef,1,Kumily
01 June 2022,King Fish,6,Thrissur/ Guruvayoor
01 June 2022,Prawns,6,Eloor
01 June 2022,Beef,4,Eloor
01 June 2022,Dryfruits,2,Eloor
09 June 2022,Beef,1,Kakkanad
09 June 2022,Fish,1,Kakkanad
05 June 2022,Prawns,1,Bangalore
05 June 2022,Prawns,4,malappuram
18 June 2022,King Fish,2,Kochi
21 June 2022,Prawns,3,Kadavanthra
21 June 2022,Beef,3,Kadavanthra
21 June 2022,Mango,3,Kadavanthra
21 June 2022,Prawns,1,Eroor - Vytila
21 June 2022,Beef,1,Eroor - Vytila
21 June 2022,Fish,1,Eroor - Vytila
21 June 2022,Prawns,1,kadavanthra
23 June 2022,Beef,1,Kottayam
26 June 2022,Prawns,1,Kochi
28 June 2022,Prawns,4,Kottayam
28 June 2022,Fish,3,Kottayam
28 June 2022,King Fish,1,Kottayam
28 June 2022,Beef,4,Kottayam
05 July 2022,Prawns,2,
05 July 2022,Fish,2,
05 July 2022,Prawns,2,
05 July 2022,Lemon,4,
08 July 2022,Beef,1,
15 July 2022,Beef,1,
15 July 2022,Prawns,1,
15 July 2022,Lemon,1,
,,,
,,,
